"","logFC","logCPM","PValue","FDR"
"CA9",-2.42205903573325,6.49586376437776,0.00131226539472273,0.608820209886765
"PLP1",2.23718296878504,6.55033224982526,0.00148965183513317,0.616337019550497
"PLIN4",2.06461757822539,6.57134030394978,0.00148965183513317,0.616337019550497
"KRT17",-2.05530285908155,6.5663749780041,0.00148965183513317,0.616337019550497
"PRSS22",-1.97406823931463,6.63407914933619,0.00154389443322098,0.616337019550497
"IL1RN",-1.90367751167597,6.62814991094833,0.00154389443322098,0.616337019550497
"IL11",-2.88592388894714,6.37685841645324,0.00183106428536154,0.698489989389248
"PGM5-AS1",2.61492723849208,6.36878233306275,0.00183106428536154,0.698489989389248
"ADIPOQ",2.73805091366076,6.2667145997801,0.00195313190341004,0.713350260722057
"KIAA1199",-1.74996264848195,6.73848256040459,0.00231572562882744,0.743716899268094
"BCHE",2.42851793840374,6.4513632208063,0.0023498681853812,0.743716899268094
"HCAR3",-2.31364483944314,6.46234827912557,0.0023498681853812,0.743716899268094
"SLC30A10",2.23630948994575,6.46361711755587,0.0023498681853812,0.743716899268094
"APLN",-2.19409878351997,6.44956292408086,0.0023498681853812,0.743716899268094
"C6orf223",-2.14727446557574,6.45780422119221,0.0023498681853812,0.743716899268094
"TACSTD2",-1.93510076398424,6.66113342917473,0.00249394219387857,0.743716899268094
"PYY",1.77291013252866,6.67250262267007,0.00249394219387857,0.743716899268094
"ENSG00000262756.1",1.57556507834415,6.88661856236704,0.002563243824661,0.743716899268094
"HCAR2",-2.09708432751625,6.5268951143285,0.00257684687493774,0.743716899268094
"SST",2.04152439014021,6.53185659672585,0.00257684687493774,0.743716899268094
"SCN7A",1.9709240405382,6.59551085981837,0.00259949982267771,0.743716899268094
"SPIB",1.58787085446857,6.77131626006905,0.00332692978508732,0.87571803469868
"WNT2",-2.89126555709544,6.35329949355433,0.00341798370760874,0.87571803469868
"KRT80",-2.75918929714697,6.35142221340727,0.00341798370760874,0.87571803469868
"ENSG00000224958.1",2.51198475620241,6.35416034469215,0.00341798370760874,0.87571803469868
"PLIN1",2.46038027538181,6.36214947727371,0.00341798370760874,0.87571803469868
"EREG",-1.75858265615465,6.71437940840618,0.00371920229895785,0.883265891223299
"DUOXA2",-1.66794099508228,6.7190728447342,0.00371920229895785,0.883265891223299
"ENSG00000261650.1",-2.79782916940046,6.24175462641103,0.00390626104540523,0.883265891223299
"ENSG00000214039.4",-2.62483846236831,6.23964274617705,0.00390626104540523,0.883265891223299
"MAGEA6",-2.60669206212692,6.24533508818341,0.00390626104540523,0.883265891223299
"FABP4",1.89787501077364,6.64653086932882,0.0040773501537507,0.883265891223299
"MMP10",-2.23855049112676,6.42078664890878,0.00418093035153095,0.883265891223299
"ENSG00000268739.1",-2.15228893132148,6.42745187280151,0.00418093035153095,0.883265891223299
"ATP1A2",2.1395312102373,6.44235968697692,0.00418093035153095,0.883265891223299
"CPNE7",-2.04246703594411,6.43123860423461,0.00418093035153095,0.883265891223299
"MIR711",-2.03689066961603,6.42853457253774,0.00418093035153095,0.883265891223299
"SLC6A14",-2.18350103392942,6.50301867541575,0.00442507670075753,0.883265891223299
"FAP",-2.01631264733181,6.5073579162358,0.00442507670075753,0.883265891223299
"ENSG00000247844.1",-1.96995907771689,6.51631767583581,0.00442507670075753,0.883265891223299
"AQP9",-1.91121071328082,6.50194925588216,0.00442507670075753,0.883265891223299
"CASQ2",1.98478381376818,6.50004473307368,0.00442507670075753,0.883265891223299
"ABCA8",1.71865851725157,6.68389654096428,0.00592466321245543,1
"KRT6B",-2.76547951460955,6.30726357234748,0.0063476790319947,1
"ENSG00000234477.1",-2.69962555942055,6.31712369510392,0.0063476790319947,1
"RERGL",2.51401129842377,6.33488451749095,0.0063476790319947,1
"NPTX1",2.22407086354007,6.33004107782408,0.0063476790319947,1
"HAND1",2.1574699558506,6.33146466874167,0.0063476790319947,1
"MAMDC2",1.64798012222186,6.62148444255298,0.00661080030256922,1
"ENSG00000256249.1",-2.26066424359201,6.40745608197526,0.00738528662566358,1
"WISP2",2.11913029365612,6.4147897804069,0.00738528662566358,1
"TMEM35",2.10143012479476,6.40906274022403,0.00738528662566358,1
"ENSG00000254166.1",-2.00560476238243,6.41195522939358,0.00738528662566358,1
"CBX2",-1.9573691779146,6.40623598996128,0.00738528662566358,1
"SLC6A19",1.92729991603379,6.41020379108046,0.00738528662566358,1
"CXCL6",-1.9968036114195,6.48217953058144,0.00753788213880353,1
"GYLTL1B",-1.99176996490721,6.47592469154447,0.00753788213880353,1
"SCGN",1.97829171611739,6.47380499252032,0.00753788213880353,1
"TPH1",1.82189188606852,6.49540297827895,0.00753788213880353,1
"LOC100190940",-2.5537796128299,6.22926613847188,0.00781251718184106,1
"APOB",2.35922594688578,6.21171156394381,0.00788302349465544,1
"CLDN8",1.54064756497931,6.7376842775326,0.00813012897636724,1
"BMP3",1.55284310706479,6.65925059513266,0.00935537668601411,1
"ENSG00000232803.1",-1.59182652429763,6.66545162701256,0.00935537668601411,1
"HAND2",1.62608143360692,6.61345159699094,0.0106220925906832,1
"CWH43",1.55012209208565,6.62016204844834,0.0106220925906832,1
"DSC3",-2.35984432278737,6.30289021143121,0.0117187837512854,1
"DSG3",-2.34689306627522,6.28940747167773,0.0117187837512854,1
"CRNDE",-2.33481282525049,6.28808086977536,0.0117187837512854,1
"OLR1",-2.27850653027952,6.30261213988715,0.0117187837512854,1
"KLK10",-2.12614798665448,6.29424834705805,0.0117187837512854,1
"IGSF10",2.10935775435889,6.29485271557501,0.0117187837512854,1
"TACR2",1.80148723878644,6.52953101844374,0.0118179960031265,1
"PI16",1.99091595403963,6.44864185847419,0.0127258871271372,1
"INSL5",1.97767825342753,6.44593995078675,0.0127258871271372,1
"FPR2",-1.99363905722491,6.45627376887167,0.0127258871271372,1
"C2CD4A",-1.96812225128599,6.45293509435475,0.0127258871271372,1
"CXCL11",-1.74681252671094,6.4510301217975,0.0127258871271372,1
"TFF2",-2.09222897938415,6.35876070510486,0.0129395002410205,1
"NBLA00301",1.99476424222985,6.392237684645,0.0129395002410205,1
"CHRM2",1.95909191249408,6.36821204763333,0.0129395002410205,1
"CNR1",1.95862643010599,6.37511935916407,0.0129395002410205,1
"LOC100127888",-1.61422125360878,6.64383172014145,0.014633392440215,1
"ABCG2",1.70339303637034,6.49593827029201,0.0192109025312773,1
"MIR424",-1.69299857961391,6.49651624463223,0.0192109025312773,1
"CADM3",1.67226688574709,6.49743940189788,0.0192109025312773,1
"C4BPB",-1.59474587216326,6.4946913260923,0.0192109025312773,1
"ADAM12",-1.78457223621772,6.43860842255624,0.0212708304797652,1
"ENSG00000232445.1",-1.74027093203438,6.41675548827006,0.0212708304797652,1
"SELE",-1.62656848397052,6.44743604557837,0.0212708304797652,1
"PDZRN4",1.74391479888739,6.42629838259527,0.0212708304797652,1
"ENSG00000254645.1",1.65489699600473,6.44899990201784,0.0212708304797652,1
"KLK6",-2.51225648131707,6.26742761226094,0.0214844233257802,1
"CLEC5A",-2.34078261846869,6.25830141804355,0.0214844233257802,1
"MYOC",2.2733146702362,6.27783435237619,0.0214844233257802,1
"IL1A",-1.88395283252845,6.27797613686726,0.0214844233257802,1
"APOA4",2.21313900225395,6.25325466609878,0.0216826264212162,1
"ACTL8",-2.02280135619035,6.25901378707218,0.0216826264212162,1
"GPM6A",2.07149960426764,6.32928161279016,0.0224610033126998,1
"MEP1B",1.92143734325131,6.35140840116599,0.0224610033126998,1
"C2orf40",1.91746494085693,6.3386689771493,0.0224610033126998,1
"ASPA",1.88192333445432,6.35961659969225,0.0224610033126998,1
"TCEAL2",1.82886401883913,6.34497790537361,0.0224610033126998,1
"PNCK",1.81706315557168,6.36070307632551,0.0224610033126998,1
"PCOLCE2",1.75673878108975,6.37205724724191,0.0224610033126998,1
"SHISA2",-1.88065921725888,6.35541525239803,0.0224610033126998,1
"S100A2",-1.81179602100931,6.34188970522473,0.0224610033126998,1
"MEX3A",-1.76381633710074,6.35346121946595,0.0224610033126998,1
"FXYD1",1.50434339068127,6.54281443959709,0.0266038206725653,1
"SLC7A11",-1.56564112986383,6.55211221004539,0.0266038206725653,1
"TMEM72",1.57379823256184,6.48197835202094,0.0308839045861077,1
"ALPI",1.55543942603669,6.48528952198004,0.0308839045861077,1
"GBA3",1.51743876130861,6.47777479200189,0.0308839045861077,1
"GFRA1",1.51566526985042,6.47617911165206,0.0308839045861077,1
"C21orf88",1.51051796623244,6.49825436859676,0.0308839045861077,1
"ENSG00000221857.3",1.5068707610427,6.49960880995318,0.0308839045861077,1
"STC1",-1.55411787952435,6.49280452722114,0.0308839045861077,1
"TREM1",-1.85789169223584,6.40545348805301,0.0351563547021507,1
"OSR1",1.75716080903482,6.40047025983188,0.0351563547021507,1
"CSF3",-1.75579669397013,6.3907342194742,0.0351563547021507,1
"SLC6A20",-1.69857163215774,6.41362865744921,0.0351563547021507,1
"EVA1A",-1.66555061615695,6.39592642597266,0.0351563547021507,1
"ENSG00000271762.1",-1.65198882095778,6.40307293636021,0.0351563547021507,1
"GLP2R",1.6421583536943,6.40100654991538,0.0351563547021507,1
"NMU",-1.61708169297053,6.42189688036434,0.0351563547021507,1
"STC2",-1.61136901298596,6.39284566798907,0.0351563547021507,1
"VSTM2A",1.60173619406965,6.41400113644393,0.0351563547021507,1
"PRPH",1.5800458196603,6.41299211627459,0.0351563547021507,1
"LOC100131825",1.5590078669391,6.40313653758156,0.0351563547021507,1
"ENSG00000225670.2",1.55319719401319,6.4060595328916,0.0351563547021507,1
"SLC11A1",-1.53074671608809,6.41863458268977,0.0351563547021507,1
"CIDEC",1.52507802836706,6.39591212286873,0.0351563547021507,1
"HSD3B2",1.5206993101788,6.42584616928856,0.0351563547021507,1
"PRIMA1",1.94428997170572,6.2969669907522,0.0385743073458028,1
"ENSG00000237125.4",1.91173770099105,6.3260180451616,0.0385743073458028,1
"NRXN1",1.81724267207841,6.30479860220842,0.0385743073458028,1
"CDH19",1.80771062706284,6.33569038835498,0.0385743073458028,1
"ENSG00000248323.1",-1.71478970079038,6.33151056229859,0.0385743073458028,1
"CCNO",-1.6981074721261,6.338889546463,0.0385743073458028,1
"MAL",1.6714265238106,6.31956251043157,0.0385743073458028,1
"ENSG00000239268.2",1.63929594872036,6.34256814610673,0.0385743073458028,1
"POU5F1B",-1.57331590511392,6.33390772094131,0.0385743073458028,1
"NOTUM",-2.41588647153331,6.23361148657739,0.0390625662762652,1
"ADIPOQ-AS1",2.36963699018019,6.23202348533266,0.0390625662762652,1
"ENSG00000226482.1",2.36955944280502,6.23198087339441,0.0390625662762652,1
"ENSG00000253929.1",-2.30413999338534,6.23137262840724,0.0390625662762652,1
"ENSG00000231826.1",-2.03156517582787,6.24871464129729,0.0390625662762652,1
"MORN5",1.8605876534595,6.24084895005431,0.0390625662762652,1
"SLC25A34",1.55654716266421,6.45894538599946,0.0490418963737849,1
"CXCR2",-1.56952152712488,6.36553072293138,0.0573731812446917,1
"CXCR1",-1.54356088794156,6.36662138826355,0.0573731812446917,1
"C17orf96",-1.53054345506843,6.38160477449932,0.0573731812446917,1
"RSPO2",1.62573234497866,6.35819230853277,0.0573731812446917,1
"MS4A10",1.87402038939145,6.1271401954225,0.0625000490932696,1
"PROK2",-1.91235116146619,6.28766493234036,0.0654298014082328,1
"MSX1",-1.58107312540965,6.29409713721783,0.0654298014082328,1
"HS6ST2",-1.5765476809307,6.29929506691132,0.0654298014082328,1
"FUT1",-1.52147831711076,6.32148695044562,0.0654298014082328,1
"PRKG2",1.71841525322674,6.27958348522011,0.0654298014082328,1
"ENSG00000239205.1",1.62807629115602,6.31204014776875,0.0654298014082328,1
"PYGM",1.53148075176537,6.28608253767115,0.0654298014082328,1
"NAP1L2",1.51898854807984,6.29832471137477,0.0654298014082328,1
"KLRG2",-1.92034716726564,6.19988124283496,0.0703125859148053,1
"FCAR",-1.87151431151648,6.22213474146516,0.0703125859148053,1
"GPR84",-1.73475250764122,6.23303317295799,0.0703125859148053,1
"KAL1",-1.54622994149064,6.33520386750218,0.0922853207835755,1
"WTAPP1",-1.53024391859234,6.32873083329913,0.0922853207835755,1
"GJB5",-1.52941024374527,6.26916345571476,0.109375138070837,1
"SFRP5",1.6950204178573,6.26978954839908,0.109375138070837,1
"APOA1",1.65721316075453,6.25358140099783,0.109940342157453,1
"APOC3",1.69492279570706,6.10442946082923,0.125000058906758,1
"NTS",1.93800166246871,6.16839306785339,0.125000103103699,1
"KRT16",-1.9334236017733,6.1477549978306,0.125000103103699,1
"ANXA10",-1.87339114827015,6.18837538438242,0.125000103103699,1
"DUSP27",-1.84201793954238,6.16454603604528,0.125000103103699,1
"PGC",-1.8304623177617,6.15789075480226,0.125000103103699,1
"CYP3A4",1.73349413601257,6.19004144911117,0.125000103103699,1
"SLC10A2",1.93656528125453,6.10575168834978,0.125241251766354,1
"AQP5",-1.57172648567287,6.14097999069794,0.21875011046729,1
"MTTP",1.60513565677684,6.16050789665244,0.219202128935425,1
"PRSS56",-1.71493680831733,6.11495833676716,0.375000098227604,1
"CPO",1.66607424673028,6.11474484758066,0.375000098227604,1
